delta_mw,converged,corridor_flow,max_line_loading,min_voltage,max_voltage,feasible,limiting_kind,limiting_idx
0.0,True,2498.2824057139487,89.15412496331886,0.8598058049535454,1.082418804377384,True,-,-1
50.0,True,2549.148357541815,89.85531873564983,0.8587396572494564,1.081896510099018,True,-,-1
100.0,True,2600.2599024142414,90.56436810293594,0.8576199957262081,1.0813525090303782,True,-,-1
150.0,True,2651.629941799991,91.28171537605968,0.8564441608529905,1.080785529785427,True,-,-1
200.0,True,2703.2729051713873,92.32895743210818,0.8552091793635139,1.0801941498729597,True,-,-1
250.0,True,2755.205015213173,93.54702125225498,0.8539117105886503,1.0795767693944225,True,-,-1
300.0,True,2807.4470915966012,94.77913191543652,0.8525485541922301,1.0789242276683353,True,-,-1
350.0,True,2860.029327280816,96.03083658391618,0.8511163835696807,1.0782104102556964,True,-,-1
400.0,True,2912.972925156357,97.30002076305291,0.8496063852184336,1.0774529474075951,True,-,-1
450.0,True,2966.333487706712,98.59279746946756,0.8480031471604277,1.0766286082573375,True,-,-1
500.0,True,3020.1221427073965,99.90658801307193,0.846308128550778,1.075754658843029,True,-,-1
550.0,True,3074.381071407565,101.24377069951947,0.8445126407913078,1.0748260171443649,True,-,-1
600.0,True,3129.1611444340606,102.60719626167872,0.8426062246502773,1.0738365653391124,True,-,-1
650.0,True,3184.524686409114,104.00033556404738,0.8405760911326344,1.0727788231433504,True,-,-1
700.0,True,3240.549494773377,105.42749339833152,0.8384063096607631,1.07164347405578,True,-,-1
750.0,True,3297.355431576345,106.89811805362817,0.8360661884634387,1.0703972112087006,True,-,-1
800.0,True,3355.078581718475,108.4196040026167,0.83352893946599,1.0690255146242602,True,-,-1
850.0,True,3413.889898136875,109.99954707353754,0.8307639318788469,1.0675201705925457,False,vlow,971
